Ward,State,District,Subdistt,Town/Village,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
44,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0044,Urban,1178,5617,2859,2758,527,291,236,48,28,20,14,8,6,4583,2390,2193,1034,469,565,1920,1523,397,1838,1481,357,158,138,20,158,60,98,56,43,13,1466,1240,226,82,42,40,1,0,1,5,0,5,12,4,8,64,38,26,68,33,35,1,0,1,5,0,5,12,4,8,50,29,21,14,9,5,0,0,0,0,0,0,0,0,0,14,9,5,3697,1336,2361
45,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0045,Urban,1133,4938,2481,2457,494,281,213,1124,561,563,48,21,27,3798,1936,1862,1140,545,595,1795,1273,522,1679,1201,478,36,34,2,128,76,52,57,33,24,1458,1058,400,116,72,44,2,1,1,9,6,3,1,0,1,104,65,39,104,66,38,2,1,1,8,5,3,1,0,1,93,60,33,12,6,6,0,0,0,1,1,0,0,0,0,11,5,6,3143,1208,1935
46,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0046,Urban,1250,6068,3059,3009,710,368,342,1809,906,903,59,35,24,4346,2331,2015,1722,728,994,1931,1524,407,1873,1490,383,55,45,10,120,81,39,39,30,9,1659,1334,325,58,34,24,0,0,0,17,10,7,3,3,0,38,21,17,45,28,17,0,0,0,13,9,4,3,3,0,29,16,13,13,6,7,0,0,0,4,1,3,0,0,0,9,5,4,4137,1535,2602
47,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0047,Urban,1747,7480,3853,3627,669,375,294,822,426,396,73,36,37,6260,3280,2980,1220,573,647,2448,1904,544,2272,1798,474,34,19,15,45,28,17,110,71,39,2083,1680,403,176,106,70,7,3,4,11,3,8,13,7,6,145,93,52,138,92,46,7,3,4,4,1,3,13,7,6,114,81,33,38,14,24,0,0,0,7,2,5,0,0,0,31,12,19,5032,1949,3083
48,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0048,Urban,2049,8243,4100,4143,633,334,299,876,418,458,116,63,53,7231,3599,3632,1012,501,511,2731,2078,653,2603,2025,578,21,17,4,27,20,7,89,54,35,2466,1934,532,128,53,75,5,2,3,0,0,0,5,1,4,118,50,68,117,48,69,5,2,3,0,0,0,3,0,3,109,46,63,11,5,6,0,0,0,0,0,0,2,1,1,9,4,5,5512,2022,3490
49,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0049,Urban,1476,6090,3092,2998,501,285,216,189,101,88,35,18,17,5258,2671,2587,832,421,411,2051,1616,435,1978,1574,404,23,19,4,13,10,3,106,86,20,1836,1459,377,73,42,31,13,7,6,2,1,1,1,1,0,57,33,24,69,41,28,13,7,6,2,1,1,1,1,0,53,32,21,4,1,3,0,0,0,0,0,0,0,0,0,4,1,3,4039,1476,2563
50,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0050,Urban,1541,6282,3167,3115,482,241,241,353,177,176,68,34,34,5423,2790,2633,859,377,482,2172,1641,531,2076,1587,489,42,36,6,26,19,7,49,34,15,1959,1498,461,96,54,42,5,3,2,5,2,3,3,1,2,83,48,35,69,42,27,5,3,2,5,2,3,1,0,1,58,37,21,27,12,15,0,0,0,0,0,0,2,1,1,25,11,14,4110,1526,2584
51,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0051,Urban,1257,5512,2848,2664,475,266,209,526,255,271,14,6,8,4679,2444,2235,833,404,429,1984,1469,515,1815,1422,393,49,37,12,8,6,2,75,50,25,1683,1329,354,169,47,122,1,1,0,1,0,1,18,2,16,149,44,105,149,39,110,1,1,0,1,0,1,13,1,12,134,37,97,20,8,12,0,0,0,0,0,0,5,1,4,15,7,8,3528,1379,2149
52,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0052,Urban,1105,4981,2452,2529,407,213,194,80,41,39,25,14,11,4149,2111,2038,832,341,491,1656,1280,376,1599,1249,350,33,28,5,11,7,4,47,36,11,1508,1178,330,57,31,26,3,1,2,0,0,0,3,0,3,51,30,21,55,30,25,3,1,2,0,0,0,3,0,3,49,29,20,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1,3325,1172,2153
53,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0053,Urban,1162,5484,2716,2768,529,280,249,68,33,35,35,17,18,4515,2303,2212,969,413,556,1919,1414,505,1810,1342,468,22,16,6,8,5,3,50,24,26,1730,1297,433,109,72,37,6,4,2,0,0,0,2,0,2,101,68,33,95,65,30,6,4,2,0,0,0,2,0,2,87,61,26,14,7,7,0,0,0,0,0,0,0,0,0,14,7,7,3565,1302,2263
